Accuracy,Precision,Recall,F1-Score,AUC-ROC,ronde
0.8959,0.4563,0.8934,0.6041,0.9687,1
0.896,0.4566,0.8934,0.6044,0.9687,2
0.896,0.4566,0.8934,0.6044,0.9687,3
0.896,0.4566,0.8934,0.6044,0.9687,4
0.896,0.4566,0.8934,0.6044,0.9687,5
0.896,0.4566,0.8934,0.6044,0.9687,6
0.896,0.4566,0.8934,0.6044,0.9687,7
0.896,0.4566,0.8934,0.6044,0.9687,8
0.896,0.4566,0.8934,0.6044,0.9687,9
0.896,0.4566,0.8934,0.6044,0.9687,10
0.896,0.4566,0.8934,0.6044,0.9687,11
0.896,0.4566,0.8934,0.6044,0.9687,12
0.896,0.4566,0.8934,0.6044,0.9687,13
0.896,0.4566,0.8934,0.6044,0.9687,14
0.896,0.4566,0.8934,0.6044,0.9687,15
0.896,0.4566,0.8934,0.6044,0.9687,16
0.896,0.4566,0.8934,0.6044,0.9687,17
0.896,0.4566,0.8934,0.6044,0.9687,18
0.896,0.4566,0.8934,0.6044,0.9687,19
0.896,0.4566,0.8934,0.6044,0.9687,20
