Accuracy,Precision,Recall,F1-Score,AUC-ROC,ronde
0.8768,0.4072,0.8715,0.555,0.9574,1
0.877,0.4076,0.8715,0.5554,0.9574,2
0.8768,0.4072,0.8715,0.555,0.9574,3
0.877,0.4076,0.8715,0.5554,0.9574,4
0.8768,0.4072,0.8715,0.555,0.9574,5
0.877,0.4076,0.8715,0.5554,0.9574,6
0.8768,0.4072,0.8715,0.555,0.9574,7
0.877,0.4076,0.8715,0.5554,0.9574,8
0.8768,0.4072,0.8715,0.555,0.9574,9
0.877,0.4076,0.8715,0.5554,0.9574,10
0.8768,0.4072,0.8715,0.555,0.9574,11
0.877,0.4076,0.8715,0.5554,0.9574,12
0.8768,0.4072,0.8715,0.555,0.9574,13
0.877,0.4076,0.8715,0.5554,0.9574,14
0.8768,0.4072,0.8715,0.555,0.9574,15
0.877,0.4076,0.8715,0.5554,0.9574,16
0.8768,0.4072,0.8715,0.555,0.9574,17
0.877,0.4076,0.8715,0.5554,0.9574,18
0.8768,0.4072,0.8715,0.555,0.9574,19
0.877,0.4076,0.8715,0.5554,0.9574,20
