Accuracy,Precision,Recall,F1-Score,AUC-ROC,ronde
0.8765,0.4068,0.8726,0.5549,0.9574,1
0.8765,0.4068,0.8726,0.5549,0.9574,2
0.8763,0.4064,0.8726,0.5545,0.9574,3
0.8764,0.4066,0.8726,0.5547,0.9574,4
0.8763,0.4064,0.8726,0.5545,0.9574,5
0.8764,0.4066,0.8726,0.5547,0.9574,6
0.8763,0.4064,0.8726,0.5545,0.9574,7
0.8764,0.4066,0.8726,0.5547,0.9574,8
0.8763,0.4064,0.8726,0.5545,0.9574,9
0.8764,0.4066,0.8726,0.5547,0.9574,10
0.8763,0.4064,0.8726,0.5545,0.9574,11
0.8764,0.4066,0.8726,0.5547,0.9574,12
0.8763,0.4064,0.8726,0.5545,0.9574,13
0.8764,0.4066,0.8726,0.5547,0.9574,14
0.8763,0.4064,0.8726,0.5545,0.9574,15
0.8764,0.4066,0.8726,0.5547,0.9574,16
0.8763,0.4064,0.8726,0.5545,0.9574,17
0.8764,0.4066,0.8726,0.5547,0.9574,18
0.8763,0.4064,0.8726,0.5545,0.9574,19
0.8764,0.4066,0.8726,0.5547,0.9574,20
